count=100
key_id,n,d
1,15459733,6907997
2,25027909,2043373
3,22780451,11013473
4,33004511,863873
5,12308701,12048385
6,35048129,33266573
7,14166281,13276625
8,25025167,3191913
9,38116811,33641585
10,20050231,9170249
11,29640251,25470857
12,25401503,5470169
13,18848813,11920181
14,20943311,8990273
15,18268961,319013
16,23192161,8109473
17,23450741,3958481
18,41989141,35713473
19,14735023,4706657
20,23005459,4205753
21,26167793,22305173
22,17452553,8751473
23,29280413,372473
24,31434157,29596705
25,18090133,5839233
26,33298747,9990881
27,20028857,6757973
28,20121617,7373069
29,29254847,13506113
30,18765727,15937073
31,20839321,5424641
32,32203939,4965641
33,21352939,1150865
34,23103823,19770273
35,28525139,1220801
36,27343889,23516993
37,29972429,28733633
38,25083341,15259529
39,40215943,22919153
40,30023813,19386113
41,25613369,5977553
42,21011203,1037969
43,34889123,9022793
44,27201259,7278593
45,30220699,10480337
46,31850963,8292065
47,13489577,4612409
48,32067571,3273689
49,13233421,11257685
50,23034727,7638433
51,24574577,1673153
52,15398371,9126017
53,18350053,13501053
54,19288601,16621973
55,14657287,12953393
56,27006197,9321473
57,32111633,7971857
58,33605029,19804733
59,17912387,164993
60,32683829,6700685
61,29289979,20036273
62,24723961,22726961
63,22414459,18346193
64,20879671,13159273
65,30748943,6639137
66,19181737,10480337
67,23930663,17899913
68,17064391,9380641
69,20977973,7860473
70,22637959,10587873
71,23068811,1597313
72,27267301,25356257
73,20947721,9763973
74,16590923,15611993
75,16219639,5542833
76,22363127,5804585
77,22680037,18912001
78,27284809,6438913
79,17055869,13327361
80,11912983,2597201
81,20095541,2466305
82,41867687,37148825
83,15909193,7563365
84,16548887,6325793
85,20020459,15769313
86,15012467,1759553
87,24467407,489993
88,17573599,15421193
89,32916179,23861105
90,19935709,13706517
91,21584257,9217
92,17973737,2870825
93,23711327,8801153
94,25016269,2200833
95,25307921,11636765
96,21542491,12781473
97,34547119,23787065
98,12933377,3091373
99,28400851,20848641
100,21883703,16836353
