count=100
key_id,n,e
1,15459733,65537
2,25027909,65537
3,22780451,65537
4,33004511,65537
5,12308701,65537
6,35048129,65537
7,14166281,65537
8,25025167,65537
9,38116811,65537
10,20050231,65537
11,29640251,65537
12,25401503,65537
13,18848813,65537
14,20943311,65537
15,18268961,65537
16,23192161,65537
17,23450741,65537
18,41989141,65537
19,14735023,65537
20,23005459,65537
21,26167793,65537
22,17452553,65537
23,29280413,65537
24,31434157,65537
25,18090133,65537
26,33298747,65537
27,20028857,65537
28,20121617,65537
29,29254847,65537
30,18765727,65537
31,20839321,65537
32,32203939,65537
33,21352939,65537
34,23103823,65537
35,28525139,65537
36,27343889,65537
37,29972429,65537
38,25083341,65537
39,40215943,65537
40,30023813,65537
41,25613369,65537
42,21011203,65537
43,34889123,65537
44,27201259,65537
45,30220699,65537
46,31850963,65537
47,13489577,65537
48,32067571,65537
49,13233421,65537
50,23034727,65537
51,24574577,65537
52,15398371,65537
53,18350053,65537
54,19288601,65537
55,14657287,65537
56,27006197,65537
57,32111633,65537
58,33605029,65537
59,17912387,65537
60,32683829,65537
61,29289979,65537
62,24723961,65537
63,22414459,65537
64,20879671,65537
65,30748943,65537
66,19181737,65537
67,23930663,65537
68,17064391,65537
69,20977973,65537
70,22637959,65537
71,23068811,65537
72,27267301,65537
73,20947721,65537
74,16590923,65537
75,16219639,65537
76,22363127,65537
77,22680037,65537
78,27284809,65537
79,17055869,65537
80,11912983,65537
81,20095541,65537
82,41867687,65537
83,15909193,65537
84,16548887,65537
85,20020459,65537
86,15012467,65537
87,24467407,65537
88,17573599,65537
89,32916179,65537
90,19935709,65537
91,21584257,65537
92,17973737,65537
93,23711327,65537
94,25016269,65537
95,25307921,65537
96,21542491,65537
97,34547119,65537
98,12933377,65537
99,28400851,65537
100,21883703,65537
