count=100
key_id,n,d
1,16501357,2253473
2,13466939,13191041
3,17691629,10785473
4,23440139,14755673
5,27962971,26423297
6,18370661,7833473
7,14542981,127745
8,24668093,13483553
9,19393009,13649057
10,31503421,17777009
11,26102749,14596865
12,32364253,20778497
13,18186643,17716473
14,36519823,23298273
15,11833001,11303045
16,15514249,1463773
17,26715487,22391577
18,22515947,787793
19,32406469,4708681
20,37628291,28095569
21,20643281,15348473
22,12244627,11074689
23,19207211,16615505
24,27607733,9759233
25,25429109,14100893
26,22925531,3762449
27,28754533,7178753
28,23034547,398753
29,24937141,24245477
30,22096843,5213353
31,22524169,919313
32,35731769,28623617
33,17477189,4360193
34,35671147,4766273
35,18836453,12946013
36,15290579,988673
37,15242333,13632989
38,18190693,16326593
39,36529049,25299713
40,15715331,14239889
41,32051449,7699445
42,39977947,14655497
43,13731953,7363025
44,36250351,21014673
45,29291929,20204977
46,15727693,10780593
47,24747959,2253473
48,11899631,10546289
49,18490063,17037249
50,18144419,6847649
51,38454293,12888545
52,25251521,10131329
53,22622107,7731953
54,20356261,54017
55,25788173,1574081
56,43476151,2317793
57,32880151,23736697
58,37175443,16203473
59,25821073,18376685
60,26714287,17175233
61,43425199,22521473
62,13842671,3715073
63,26714383,4346753
64,28409327,23321153
65,28698959,8453633
66,22253981,14134097
67,27089723,19138145
68,36868891,8327681
69,26180471,20611673
70,34627741,17268137
71,18969439,10072193
72,35529343,7916545
73,18715129,11234725
74,11978597,7288577
75,27987691,15382593
76,25884983,22017833
77,23024831,1996433
78,19316537,14895833
79,28846949,21260633
80,27074039,7138241
81,27533873,1213673
82,12280043,6202481
83,13942171,2728073
84,25357601,3440897
85,25031957,23895233
86,13032631,5253665
87,14275487,1486913
88,21810857,16541561
89,28079609,4737689
90,30530947,28552193
91,26921467,10697993
92,27298823,11001473
93,15486503,7731953
94,24837133,4932397
95,19801361,12148673
96,39456737,21413393
97,23193743,12929921
98,17483041,4989853
99,19567057,13663473
100,23157833,9088385
